                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1156,                 1.9322,                 1.0758,                 1.3786,                0.71339,                0.63419,                 0.7297,                0.49293,                0.61687,                0.58158,                0.60242,                0.29736,                 1.0941,                 1.7242,                 1.1187,                 1.3493,             0.00063153,             0.00063153,             0.00063153
                     38,                 1.1263,                 1.9095,                 1.0992,                 1.3819,                0.76816,                0.68551,                0.78244,                0.54375,                0.72214,                0.63479,                0.68071,                0.31848,                  1.066,                 1.7335,                 1.0707,                 1.3294,             0.00062918,             0.00062918,             0.00062918
                     39,                 1.1201,                 1.9466,                 1.1442,                 1.3759,                0.73112,                0.69731,                 0.7813,                0.54502,                0.72578,                0.65855,                0.71679,                0.33547,                 1.0575,                 1.6482,                 1.0883,                 1.3231,             0.00062682,             0.00062682,             0.00062682
                     40,                 1.1244,                 1.8329,                 1.0747,                 1.3845,                0.73826,                0.70594,                0.74606,                0.52134,                0.67104,                0.66288,                0.63338,                0.31647,                 1.0378,                 1.7087,                 1.1098,                 1.3023,             0.00062446,             0.00062446,             0.00062446
                     41,                 1.1063,                 1.7991,                 1.0629,                 1.3361,                0.71639,                0.73681,                0.77461,                 0.5348,                0.71025,                0.65067,                0.66281,                0.32579,                 1.0529,                 1.7073,                 1.0901,                 1.3114,             0.00062211,             0.00062211,             0.00062211
                     42,                 1.1247,                 1.9155,                 1.0885,                 1.3563,                0.72823,                0.70754,                0.79844,                0.55426,                0.66621,                0.61327,                0.66773,                0.32165,                  1.054,                 1.7347,                 1.0019,                  1.305,             0.00061975,             0.00061975,             0.00061975
                     43,                  1.091,                 1.9131,                 1.0803,                  1.357,                0.69725,                0.74067,                0.80176,                 0.5698,                0.72662,                0.64738,                0.71445,                0.34067,                 1.0215,                 1.6872,                0.94666,                 1.2884,              0.0006174,              0.0006174,              0.0006174
                     44,                 1.1035,                 1.9134,                 1.0771,                 1.3704,                0.74148,                0.79331,                0.84334,                0.60139,                0.74489,                0.69644,                0.73374,                0.36756,                 1.0073,                 1.5413,                0.91379,                 1.2566,             0.00061504,             0.00061504,             0.00061504
                     45,                 1.0602,                  1.836,                  1.023,                 1.3341,                0.78738,                 0.7512,                0.83944,                0.61031,                0.71136,                0.66342,                0.69929,                0.35875,                0.98933,                 1.5718,                 0.9008,                 1.2351,             0.00061268,             0.00061268,             0.00061268
                     46,                  1.119,                 1.9074,                 1.0859,                 1.3517,                0.76934,                0.75268,                0.81836,                0.58885,                0.70081,                0.70369,                0.71182,                0.36272,                 1.0032,                 1.5295,                 0.9141,                 1.2425,             0.00061033,             0.00061033,             0.00061033
                     47,                 1.0422,                 1.7521,                0.98416,                 1.3166,                0.83294,                0.72293,                0.81953,                 0.5821,                0.78086,                0.68754,                0.72282,                0.37622,                0.99102,                 1.5042,                0.93831,                 1.2513,             0.00060797,             0.00060797,             0.00060797
                     48,                 1.0784,                 1.8093,                  1.019,                  1.343,                0.76365,                0.81729,                0.85076,                0.60096,                0.71106,                0.78253,                0.76924,                0.40406,                0.99037,                 1.4351,                0.92433,                 1.2518,             0.00060561,             0.00060561,             0.00060561
                     49,                 1.0313,                 1.7611,                0.98223,                 1.3126,                0.79941,                0.79486,                0.86462,                0.61719,                0.75759,                0.74958,                0.77927,                0.39948,                0.96266,                 1.4654,                0.89636,                 1.2284,             0.00060326,             0.00060326,             0.00060326
                     50,                  1.068,                 1.7826,                 1.0252,                 1.3354,                 0.8003,                0.77469,                0.81857,                 0.5902,                 0.7478,                0.72756,                0.72678,                0.36556,                0.97347,                  1.543,                0.90576,                 1.2328,              0.0006009,              0.0006009,              0.0006009
                     51,                 1.0371,                 1.7474,                0.97478,                  1.302,                0.73893,                 0.8027,                0.82368,                0.57535,                0.68861,                0.74005,                0.72649,                0.34691,                 0.9404,                 1.5595,                0.87097,                 1.2111,             0.00059855,             0.00059855,             0.00059855
                     52,                0.98913,                 1.6591,                0.91826,                 1.2809,                 0.7808,                0.80208,                0.85756,                0.59741,                0.74734,                0.74833,                0.77658,                0.37084,                0.90352,                  1.475,                0.87331,                 1.1904,             0.00059619,             0.00059619,             0.00059619
                     53,                 1.0221,                 1.6917,                0.93505,                 1.2959,                  0.827,                0.78983,                0.87333,                0.63813,                0.78257,                0.72459,                0.78051,                0.39699,                0.91121,                 1.4252,                0.82601,                 1.1876,             0.00059383,             0.00059383,             0.00059383
                     54,                 1.0455,                 1.6893,                0.94823,                 1.3371,                0.83973,                 0.7995,                0.88987,                0.65975,                0.79338,                 0.7609,                 0.8125,                0.42909,                0.91151,                 1.3842,                0.80519,                 1.1829,             0.00059148,             0.00059148,             0.00059148
                     55,                 1.0043,                 1.7663,                0.93411,                 1.2938,                 0.8607,                0.75912,                0.86761,                 0.6434,                0.84553,                0.72985,                0.81871,                0.44259,                0.90778,                 1.3659,                0.82263,                 1.1844,             0.00058912,             0.00058912,             0.00058912
                     56,                0.98962,                 1.6944,                0.91937,                 1.2966,                0.80745,                0.78868,                0.85084,                0.63257,                0.76515,                0.76882,                0.80009,                0.42464,                0.92421,                 1.3836,                0.83083,                  1.204,             0.00058677,             0.00058677,             0.00058677
                     57,                0.99235,                 1.6573,                0.89837,                   1.28,                0.83111,                 0.7684,                0.85744,                0.63371,                0.82817,                0.74666,                0.81411,                0.42104,                0.91835,                 1.3573,                0.84842,                 1.2004,             0.00058441,             0.00058441,             0.00058441
                     58,                 1.0086,                 1.6307,                0.90136,                 1.2936,                0.84512,                0.78821,                 0.8836,                0.65007,                0.83457,                0.76755,                0.83469,                0.44589,                0.88007,                 1.3478,                0.80082,                 1.1787,             0.00058205,             0.00058205,             0.00058205
                     59,                 1.0033,                 1.7067,                0.93425,                  1.285,                0.83433,                0.79099,                0.88767,                0.63994,                0.82791,                0.77837,                0.85156,                0.44153,                0.89898,                 1.3502,                0.81058,                 1.1847,              0.0005797,              0.0005797,              0.0005797
                     60,                 1.0103,                  1.751,                0.93603,                 1.2777,                0.85457,                0.79742,                0.89057,                0.62507,                 0.8345,                0.78051,                0.83698,                 0.4335,                0.90657,                 1.3606,                0.82609,                 1.1846,             0.00057734,             0.00057734,             0.00057734
